Date;Close
2021-01-01;2600
2021-01-08;3180
2021-01-15;3090
2021-01-22;2380
2021-01-29;2400
2021-02-05;2870
2021-02-12;2780
2021-02-19;2960
2021-02-26;2520
2021-03-05;2230
2021-03-12;2290
2021-03-19;2180
2021-03-26;2240
2021-04-02;2470
2021-04-09;2320
2021-04-16;2350
2021-04-23;2510
2021-04-30;2620
2021-05-07;2670
2021-05-14;2420
2021-05-21;2390
2021-05-28;2520
2021-06-04;2420
2021-06-11;2330
2021-06-18;2250
2021-06-25;2230
2021-07-02;2550
2021-07-09;2610
2021-07-16;2570
2021-07-23;2590
2021-07-30;2370
2021-08-06;2400
2021-08-13;2270
2021-08-20;2270
2021-08-27;2320
2021-09-03;2440
2021-09-10;2410
2021-09-17;2290
2021-09-24;2290
2021-10-01;2330
2021-10-08;2420
2021-10-15;2450
2021-10-22;2320
2021-10-29;2380
2021-11-05;2370
2021-11-12;2330
2021-11-19;2440
2021-11-26;2340
2021-12-03;2330
2021-12-10;2290
2021-12-17;2240
2021-12-24;2250
2021-12-31;2230
2022-01-07;1965
2022-01-14;1935
2022-01-21;1765
2022-01-28;1840
2022-02-04;1880
2022-02-11;1945
2022-02-18;2220
2022-02-25;2290
2022-03-04;2570
2022-03-11;2350
2022-03-18;2640
2022-03-25;2440
2022-04-01;2760
2022-04-08;2780
2022-04-15;2790
2022-04-22;2600
2022-04-29;2600
2022-05-06;2330
2022-05-13;2460
2022-05-20;2490
2022-05-27;2510
2022-06-03;2400
2022-06-10;2150
2022-06-17;1965
2022-06-24;1800
2022-07-01;1720
2022-07-08;1650
2022-07-15;1675
2022-07-22;2000
2022-07-29;1970
2022-08-05;2240
2022-08-12;2050
2022-08-19;1995
2022-08-26;1935
2022-09-02;1920
2022-09-09;2070
2022-09-16;2080
2022-09-23;1920
2022-09-30;1930
2022-10-07;1830
2022-10-14;1820
2022-10-21;1840
2022-10-28;1830
2022-11-04;2000
2022-11-11;1975
2022-11-18;1970
2022-11-25;2040
2022-12-02;1990
2022-12-09;1935
2022-12-16;2030
2022-12-23;2010
2022-12-30;1965
2023-01-06;2130
2023-01-13;2270
2023-01-20;2320
2023-01-27;2350
2023-02-03;2220
2023-02-10;2110
2023-02-17;2030
2023-02-24;2010
2023-03-03;1875
2023-03-10;1795
2023-03-17;1885
2023-03-24;2090
2023-03-31;2100
2023-04-07;2130
2023-04-14;2100
2023-04-21;2080
2023-04-28;2130
2023-05-05;2040
2023-05-12;1935
2023-05-19;1945
2023-05-26;1895
2023-06-02;1985
2023-06-09;2040
2023-06-16;2010
2023-06-23;1950
2023-06-30;2020
2023-07-07;1990
2023-07-14;1990
2023-07-21;1970
2023-07-28;2010
2023-08-04;1990
2023-08-11;1960
2023-08-18;1995
2023-08-25;1990
