Date;Close
31/05/2021;5.625.000.000
07/06/2021;5.675.000.000
14/06/2021;4.940.000.000
21/06/2021;4.760.000.000
28/06/2021;4.830.000.000
05/07/2021;4.640.000.000
12/07/2021;4.810.000.000
19/07/2021;5.075.000.000
26/07/2021;4.780.000.000
02/08/2021;5.125.000.000
09/08/2021;5.100.000.000
16/08/2021;5.425.000.000
23/08/2021;5.300.000.000
30/08/2021;5.450.000.000
06/09/2021;5.450.000.000
13/09/2021;5.300.000.000
20/09/2021;5.100.000.000
27/09/2021;5.350.000.000
04/10/2021;6.150.000.000
11/10/2021;6.750.000.000
18/10/2021;7.450.000.000
25/10/2021;7.000.000.000
01/11/2021;6.950.000.000
08/11/2021;6.900.000.000
15/11/2021;7.025.000.000
22/11/2021;6.875.000.000
29/11/2021;6.725.000.000
06/12/2021;6.775.000.000
13/12/2021;6.750.000.000
20/12/2021;6.725.000.000
27/12/2021;6.750.000.000
03/01/2022;7.075.000.000
10/01/2022;7.100.000.000
17/01/2022;7.175.000.000
24/01/2022;7.500.000.000
31/01/2022;7.325.000.000
07/02/2022;7.700.000.000
14/02/2022;7.975.000.000
21/02/2022;8.000.000.000
28/02/2022;7.900.000.000
07/03/2022;7.950.000.000
14/03/2022;8.300.000.000
21/03/2022;8.225.000.000
28/03/2022;8.200.000.000
04/04/2022;8.425.000.000
11/04/2022;8.400.000.000
18/04/2022;9.350.000.000
25/04/2022;9.225.000.000
02/05/2022;9.225.000.000
09/05/2022;8.250.000.000
16/05/2022;8.775.000.000
23/05/2022;9.200.000.000
30/05/2022;8.950.000.000
06/06/2022;8.300.000.000
13/06/2022;8.175.000.000
20/06/2022;8.150.000.000
27/06/2022;7.850.000.000
04/07/2022;7.600.000.000
11/07/2022;7.275.000.000
18/07/2022;7.700.000.000
25/07/2022;7.850.000.000
01/08/2022;8.250.000.000
08/08/2022;8.525.000.000
15/08/2022;8.500.000.000
22/08/2022;8.300.000.000
29/08/2022;8.700.000.000
05/09/2022;8.800.000.000
12/09/2022;8.950.000.000
19/09/2022;9.000.000.000
26/09/2022;8.975.000.000
03/10/2022;8.775.000.000
10/10/2022;8.425.000.000
17/10/2022;9.000.000.000
24/10/2022;9.325.000.000
31/10/2022;9.275.000.000
07/11/2022;9.300.000.000
14/11/2022;9.200.000.000
21/11/2022;9.300.000.000
28/11/2022;9.750.000.000
05/12/2022;9.550.000.000
12/12/2022;9.800.000.000
19/12/2022;9.325.000.000
26/12/2022;9.225.000.000
02/01/2023;8.900.000.000
09/01/2023;8.675.000.000
16/01/2023;9.025.000.000
23/01/2023;9.550.000.000
30/01/2023;9.300.000.000
06/02/2023;9.525.000.000
13/02/2023;9.275.000.000
20/02/2023;8.900.000.000
27/02/2023;8.750.000.000
06/03/2023;9.025.000.000
13/03/2023;9.025.000.000
20/03/2023;9.625.000.000
27/03/2023;9.350.000.000
03/04/2023;9.375.000.000
10/04/2023;9.400.000.000
17/04/2023;9.475.000.000
24/04/2023;9.425.000.000
01/05/2023;9.250.000.000
08/05/2023;9.000.000.000
15/05/2023;8.825.000.000
22/05/2023;8.950.000.000
29/05/2023;9.050.000.000
05/06/2023;9.225.000.000
12/06/2023;9.025.000.000
19/06/2023;9.025.000.000
26/06/2023;9.150.000.000
03/07/2023;9.075.000.000
10/07/2023;8.925.000.000
17/07/2023;9.050.000.000
24/07/2023;8.875.000.000
31/07/2023;9.000.000.000
07/08/2023;9.100.000.000
14/08/2023;9.050.000.000
21/08/2023;9.100.000.000
28/08/2023;9.175.000.000
