Date;Close
2021-05-31;5625
2021-06-07;5675
2021-06-14;4940
2021-06-21;4760
2021-06-28;4830
2021-07-05;4640
2021-07-12;4810
2021-07-19;5075
2021-07-26;4780
2021-08-02;5125
2021-08-09;5100
2021-08-16;5425
2021-08-23;5300
2021-08-30;5450
2021-09-06;5450
2021-09-13;5300
2021-09-20;5100
2021-09-27;5350
2021-10-04;6150
2021-10-11;6750
2021-10-18;7450
2021-10-25;7000
2021-11-01;6950
2021-11-08;6900
2021-11-15;7025
2021-11-22;6875
2021-11-29;6725
2021-12-06;6775
2021-12-13;6750
2021-12-20;6725
2021-12-27;6750
2022-01-03;7075
2022-01-10;7100
2022-01-17;7175
2022-01-24;7500
2022-01-31;7325
2022-02-07;7700
2022-02-14;7975
2022-02-21;8000
2022-02-28;7900
2022-03-07;7950
2022-03-14;8300
2022-03-21;8225
2022-03-28;8200
2022-04-04;8425
2022-04-11;8400
2022-04-18;9350
2022-04-25;9225
2022-05-02;9225
2022-05-09;8250
2022-05-16;8775
2022-05-23;9200
2022-05-30;8950
2022-06-06;8300
2022-06-13;8175
2022-06-20;8150
2022-06-27;7850
2022-07-04;7600
2022-07-11;7275
2022-07-18;7700
2022-07-25;7850
2022-08-01;8250
2022-08-08;8525
2022-08-15;8500
2022-08-22;8300
2022-08-29;8700
2022-09-05;8800
2022-09-12;8950
2022-09-19;9000
2022-09-26;8975
2022-10-03;8775
2022-10-10;8425
2022-10-17;9000
2022-10-24;9325
2022-10-31;9275
2022-11-07;9300
2022-11-14;9200
2022-11-21;9300
2022-11-28;9750
2022-12-05;9550
2022-12-12;9800
2022-12-19;9325
2022-12-26;9225
2023-01-02;8900
2023-01-09;8675
2023-01-16;9025
2023-01-23;9550
2023-01-30;9300
2023-02-06;9525
2023-02-13;9275
2023-02-20;8900
2023-02-27;8750
2023-03-06;9025
2023-03-13;9025
2023-03-20;9625
2023-03-27;9350
2023-04-03;9375
2023-04-10;9400
2023-04-17;9475
2023-04-24;9425
2023-05-01;9250
2023-05-08;9000
2023-05-15;8825
2023-05-22;8950
2023-05-29;9050
2023-06-05;9225
2023-06-12;9025
2023-06-19;9025
2023-06-26;9150
2023-07-03;9075
2023-07-10;8925
2023-07-17;9050
2023-07-24;8875
2023-07-31;9000
2023-08-07;9100
2023-08-14;9050
2023-08-21;9100
2023-08-28;9175
